# nodes: 86
# edges: 106
average degree: 3.5697674418604652
average edge size: 2.0377358490566038

seed vertex	conductance	time taken (seconds)

62	0.06153846153846154	0.002
70	0.05442176870748299	0
66	0.09411764705882353	0
48	0.07947019867549669	0
17	0.0945945945945946	0
77	0.08461538461538462	0
38	0.0945945945945946	0
84	0.047619047619047616	0
23	0.07947019867549669	0
25	0.07947019867549669	0
40	0.0718954248366013	0
54	0.047619047619047616	0
2	0.0625	0
74	0.043478260869565216	0
85	0.05442176870748299	0
58	0.05442176870748299	0
27	0.07947019867549669	0
72	0.043478260869565216	0
60	0.0718954248366013	0
45	0.11764705882352941	0
80	0.047619047619047616	0
59	0.0718954248366013	0
47	0.10576923076923077	0
6	0.0945945945945946	0
16	0.0945945945945946	0
55	0.05442176870748299	0
65	0.06153846153846154	0
32	0.05442176870748299	0
29	0.11643835616438356	0
82	0.043478260869565216	0
43	0.10434782608695652	0
61	0.06153846153846154	0
10	0.11538461538461539	0
78	0.047619047619047616	0
68	0.047619047619047616	0
28	0.14285714285714285	0
39	0.0718954248366013	0
12	0.12418300653594772	0
19	0.0945945945945946	0
35	0.11643835616438356	0
53	0.08461538461538462	0
41	0.0718954248366013	0
75	0.043478260869565216	0
63	0.043478260869565216	0
73	0.043478260869565216	0
18	0.0945945945945946	0
7	0.0945945945945946	0.001
14	0.11842105263157894	0
71	0.07692307692307693	0
56	0.05442176870748299	0


Conductance
0.06153846153846154, 0.05442176870748299, 0.09411764705882353, 0.07947019867549669, 0.0945945945945946, 0.08461538461538462, 0.0945945945945946, 0.047619047619047616, 0.07947019867549669, 0.07947019867549669, 0.0718954248366013, 0.047619047619047616, 0.0625, 0.043478260869565216, 0.05442176870748299, 0.05442176870748299, 0.07947019867549669, 0.043478260869565216, 0.0718954248366013, 0.11764705882352941, 0.047619047619047616, 0.0718954248366013, 0.10576923076923077, 0.0945945945945946, 0.0945945945945946, 0.05442176870748299, 0.06153846153846154, 0.05442176870748299, 0.11643835616438356, 0.043478260869565216, 0.10434782608695652, 0.06153846153846154, 0.11538461538461539, 0.047619047619047616, 0.047619047619047616, 0.14285714285714285, 0.0718954248366013, 0.12418300653594772, 0.0945945945945946, 0.11643835616438356, 0.08461538461538462, 0.0718954248366013, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.0945945945945946, 0.0945945945945946, 0.11842105263157894, 0.07692307692307693, 0.05442176870748299, 

time taken (seconds)
0.002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001, 0, 0, 0, 
